epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2037,1.76656,4.20901,4.31758,1.50497,0.0007,0.24637,0.06424,0.04434,0.00053,0.16767,0.05159,0.03024,2.05439,3.97884,4.37124,1.6666,0.0003333,0.0003333,0.0003333
2,47.12,1.85854,3.54057,3.97126,1.48827,0.00903,0.26175,0.0469,0.02798,0.00882,0.16525,0.04286,0.01473,2.37728,3.5437,4.28005,1.94327,0.000677669,0.000677669,0.000677669
3,63.9054,2.0082,3.81086,3.72083,1.58854,0.82308,0.08922,0.06636,0.0344,0.66368,0.08571,0.06201,0.01757,2.38309,4.16147,4.27209,2.03549,0.00102187,0.00102187,0.00102187
4,80.4678,1.97434,3.6024,3.5092,1.6082,0.82763,0.08571,0.06801,0.02531,0.82763,0.08571,0.05397,0.01712,2.46192,4.53837,4.76158,2.47996,0.00111039,0.00111039,0.00111039
5,96.9579,2.00422,3.59253,3.40995,1.60147,0.87079,0.11429,0.10352,0.03253,0.85355,0.11429,0.07102,0.04192,2.51232,4.84066,4.59728,2.37717,0.00110991,0.00110991,0.00110991
6,113.892,2.03334,3.7229,3.48479,1.62136,0.23926,0.22292,0.05744,0.02393,0.23862,0.19581,0.06391,0.03052,2.60295,3.91305,5.05526,2.36921,0.0011093,0.0011093,0.0011093
7,131.398,2.01364,3.41767,3.23521,1.60845,0.04031,0.15623,0.03322,0.01183,0.24831,0.14217,0.04082,0.01359,2.49638,3.56127,4.18725,2.34115,0.00110856,0.00110856,0.00110856
8,148.389,1.96816,3.38474,3.10174,1.5809,0.27076,0.28063,0.08656,0.03312,0.27605,0.26564,0.07977,0.04235,2.39159,3.68709,3.90845,2.20664,0.00110768,0.00110768,0.00110768
9,165.963,2.01799,3.22054,3.24911,1.62232,0.29904,0.26249,0.06541,0.03011,0.27192,0.17667,0.07001,0.02694,2.39672,3.46125,3.33613,2.03194,0.00110666,0.00110666,0.00110666
10,183.237,1.94459,3.37706,2.98465,1.5473,0.74806,0.14911,0.13071,0.06977,0.74806,0.14911,0.1237,0.07026,2.54218,3.82172,3.28779,2.24274,0.00110551,0.00110551,0.00110551
11,200.794,1.89139,3.31442,2.87971,1.52442,0.89497,0.08571,0.1398,0.04745,0.92581,0.11429,0.13831,0.06415,2.46022,3.98882,3.44442,2.06486,0.00110423,0.00110423,0.00110423
12,218.446,1.84485,3.22817,2.97033,1.47445,0.17857,0.24252,0.19406,0.09577,0.16953,0.20715,0.16833,0.09602,2.06866,3.56774,2.84254,1.83427,0.00110281,0.00110281,0.00110281
13,238.096,1.89043,3.17378,2.81931,1.51128,0.42238,0.17373,0.11565,0.0602,0.42225,0.15944,0.09068,0.05164,2.32676,3.91837,3.34142,1.90569,0.00110126,0.00110126,0.00110126
14,255.7,1.86811,3.12551,2.74973,1.52535,0.28431,0.37175,0.23997,0.08897,0.955,0.11429,0.22653,0.09618,2.25057,3.33184,3.09178,1.92259,0.00109957,0.00109957,0.00109957
15,273.478,1.83177,3.17609,2.64437,1.49615,0.35555,0.24274,0.15325,0.07288,0.40527,0.17439,0.17337,0.0638,2.27616,3.36817,3.25581,1.9517,0.00109776,0.00109776,0.00109776
16,290.571,1.80798,3.0795,2.6675,1.46283,0.25196,0.23543,0.22438,0.08082,0.32466,0.2495,0.21775,0.10042,2.18319,3.20414,3.02176,1.89108,0.0010958,0.0010958,0.0010958
17,307.18,1.78158,3.11675,2.528,1.46815,0.57434,0.15714,0.19485,0.09391,0.57434,0.15714,0.20141,0.09225,2.22903,3.31316,3.02701,1.87407,0.00109372,0.00109372,0.00109372
18,323.327,1.8959,3.1641,2.55335,1.51918,0.94751,0.16146,0.19481,0.09626,0.72299,0.1375,0.16699,0.10006,2.28244,3.3378,3.08747,1.89589,0.00109151,0.00109151,0.00109151
19,339.368,1.79053,2.9578,2.49858,1.49823,0.51017,0.18139,0.18304,0.10207,0.48848,0.18312,0.19991,0.10982,2.2886,3.69393,3.14635,2.04789,0.00108916,0.00108916,0.00108916
20,356.274,1.75401,3.00907,2.39566,1.49452,0.16671,0.34226,0.16901,0.0698,0.17055,0.33449,0.1686,0.07121,2.04116,3.22369,3.01607,1.8701,0.00108669,0.00108669,0.00108669
21,372.918,1.74251,2.91497,2.38696,1.45662,0.42982,0.28084,0.25174,0.12422,0.46969,0.29022,0.26598,0.14118,2.04159,3.01832,2.77351,1.8045,0.00108408,0.00108408,0.00108408
22,390.189,1.7251,2.84792,2.34754,1.44363,0.24329,0.30599,0.1926,0.10706,0.31287,0.23131,0.18648,0.09927,2.23374,3.28145,3.06914,1.99989,0.00108135,0.00108135,0.00108135
