epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6513,2.11203,3.70708,4.49151,1.68984,0.23323,0.20123,0.09592,0.05742,0.22975,0.18735,0.08552,0.04145,2.0822,3.45842,4.27585,1.96535,0.000251989,0.000251989,0.000251989
2,48.9524,2.21244,3.4868,3.38259,1.75536,0.18457,0.08895,0.05756,0.02828,0.27528,0.1685,0.10876,0.02053,2.26283,4.15885,4.12233,2.83375,0.000508308,0.000508308,0.000508308
3,66.2786,2.35075,3.52027,3.30152,1.84841,0.0808,0.09722,0.05653,0.02891,0.05175,0.09722,0.04495,0.01993,2.3741,5.21113,65.3227,2.61462,0.000764572,0.000764572,0.000764572
4,83.475,2.42904,3.61187,3.23297,1.91092,0.4275,0.07901,0.10882,0.06644,0.4275,0.07901,0.08819,0.05338,2.37836,3.98539,39.7196,2.387,0.000768812,0.000768812,0.000768812
5,100.845,2.34462,3.48483,3.07493,1.85901,0.27777,0.24753,0.13181,0.05167,0.53867,0.12037,0.10654,0.03627,2.28473,4.43228,4.9507,2.00418,0.000768666,0.000768666,0.000768666
6,117.901,2.27436,3.37737,2.92186,1.82546,0.25656,0.26074,0.1828,0.09849,0.19699,0.27027,0.1673,0.08364,2.21861,3.48135,3.83198,1.92578,0.000768478,0.000768478,0.000768478
7,135.447,2.23614,3.30176,2.85972,1.76808,0.41275,0.28892,0.23111,0.11407,0.37357,0.25343,0.20383,0.10097,2.19216,3.64197,3.86863,1.8649,0.000768249,0.000768249,0.000768249
8,153.206,2.19391,3.28427,2.84779,1.76388,0.64065,0.22593,0.28129,0.13314,0.63994,0.21481,0.26654,0.13851,2.18227,3.5265,4.12488,1.94283,0.000767978,0.000767978,0.000767978
9,170.747,2.1265,3.18999,2.64907,1.72175,0.22805,0.40123,0.26024,0.1377,0.19688,0.36749,0.24703,0.13457,1.98319,3.39529,3.09426,1.76536,0.000767665,0.000767665,0.000767665
10,187.698,2.08893,3.25467,2.64447,1.71673,0.17526,0.3034,0.20503,0.11874,0.17783,0.28753,0.18848,0.09297,2.01001,3.40712,2.72266,1.78543,0.000767311,0.000767311,0.000767311
11,205.025,2.08574,3.06687,2.66468,1.68785,0.65251,0.21228,0.26453,0.13739,0.61727,0.16852,0.22646,0.10432,1.98009,3.57378,3.15456,1.74773,0.000766915,0.000766915,0.000766915
12,222.171,2.06379,3.07575,2.56236,1.66551,0.19839,0.27051,0.19507,0.11575,0.12632,0.28592,0.18679,0.10052,1.83444,3.01013,3.14272,1.66159,0.000766477,0.000766477,0.000766477
13,239.197,2.03422,3.03068,2.48747,1.66828,0.47505,0.23079,0.2704,0.1805,0.53295,0.19784,0.2521,0.1488,2.13051,3.03368,2.65145,1.8338,0.000765998,0.000765998,0.000765998
14,256.619,1.97861,2.89918,2.39345,1.60408,0.32737,0.46576,0.38148,0.19332,0.38868,0.44532,0.41565,0.1825,1.8488,2.89746,2.48852,1.63858,0.000765478,0.000765478,0.000765478
15,274.151,1.97904,2.89179,2.38292,1.62155,0.7201,0.18442,0.2423,0.1176,0.7201,0.18442,0.24341,0.10952,2.02549,3.20599,3.02723,1.76371,0.000764916,0.000764916,0.000764916
16,291.381,1.96075,2.8787,2.36768,1.60797,0.44036,0.36326,0.40164,0.20962,0.25787,0.46529,0.37229,0.19274,1.88965,3.06541,2.44625,1.73942,0.000764314,0.000764314,0.000764314
17,308.832,1.90455,2.87196,2.2651,1.59509,0.22755,0.39228,0.267,0.11516,0.77383,0.14815,0.22289,0.08214,2.05578,3.31547,2.79461,1.79732,0.000763669,0.000763669,0.000763669
18,326.049,1.90047,2.78965,2.26579,1.57401,0.3069,0.40835,0.31005,0.15981,0.25679,0.29637,0.2166,0.10086,2.03475,3.46037,3.02177,1.813,0.000762984,0.000762984,0.000762984
19,343.04,1.85557,2.73914,2.18427,1.5386,0.26721,0.30503,0.29796,0.16206,0.25163,0.33488,0.28085,0.15203,1.97654,2.96788,2.49772,1.72373,0.000762258,0.000762258,0.000762258
20,360.13,1.86242,2.67653,2.12003,1.54118,0.27305,0.3717,0.28724,0.16228,0.22738,0.34043,0.27144,0.14697,1.88969,2.94045,2.39908,1.7166,0.00076149,0.00076149,0.00076149
21,377.161,1.85679,2.74736,2.11383,1.52705,0.34175,0.39604,0.32623,0.16833,0.63837,0.275,0.28777,0.15284,1.92178,3.08855,2.94893,1.75259,0.000760682,0.000760682,0.000760682
22,394.119,1.83018,2.68611,2.10164,1.53426,0.45223,0.30679,0.31906,0.17826,0.46702,0.32068,0.33798,0.16836,1.82969,2.97007,2.76753,1.68969,0.000759833,0.000759833,0.000759833
23,411.194,1.84233,2.68473,2.06101,1.53561,0.39163,0.31502,0.35251,0.19537,0.3786,0.3358,0.33854,0.18045,2.01134,3.02644,2.41281,1.72268,0.000758943,0.000758943,0.000758943
24,428.221,1.79909,2.65055,2.01607,1.51488,0.41638,0.32734,0.36747,0.16314,0.2086,0.37654,0.3244,0.1389,2.07133,3.14862,2.31869,1.78984,0.000758012,0.000758012,0.000758012
25,445.236,1.79928,2.61336,2.014,1.50589,0.34415,0.41315,0.32009,0.15762,0.32686,0.39365,0.34453,0.16015,1.96406,2.80365,2.49925,1.74166,0.000757041,0.000757041,0.000757041
26,462.272,1.75483,2.58327,1.92111,1.46691,0.53927,0.25393,0.35694,0.20274,0.58068,0.26363,0.35995,0.17869,1.9955,3.20456,2.42502,1.80789,0.000756029,0.000756029,0.000756029
27,479.333,1.71645,2.48469,1.89642,1.46823,0.3058,0.30047,0.31691,0.14665,0.34711,0.36306,0.33567,0.14851,1.99569,3.15572,2.55207,1.77754,0.000754978,0.000754978,0.000754978
28,496.494,1.72077,2.51591,1.88106,1.46377,0.24634,0.38003,0.29601,0.16838,0.2681,0.37601,0.30385,0.15906,1.98927,2.86084,2.42777,1.80723,0.000753886,0.000753886,0.000753886
29,513.616,1.68051,2.44814,1.80619,1.43768,0.29879,0.3528,0.33177,0.20161,0.32816,0.40278,0.35439,0.19141,1.90561,3.05511,2.41133,1.6911,0.000752753,0.000752753,0.000752753
30,530.887,1.72303,2.50088,1.86391,1.45498,0.31829,0.45125,0.37552,0.22514,0.75299,0.25802,0.34123,0.20258,2.00872,3.02053,2.62416,1.79678,0.000751581,0.000751581,0.000751581
31,548.447,1.71221,2.42497,1.85274,1.46026,0.54822,0.36854,0.38824,0.16321,0.48642,0.34315,0.38251,0.16382,1.84913,2.8438,2.26928,1.6721,0.000750369,0.000750369,0.000750369
32,565.554,1.67936,2.44043,1.7906,1.43978,0.47993,0.48386,0.42583,0.19923,0.5698,0.3925,0.39774,0.17964,1.95297,2.93121,2.13282,1.75743,0.000749118,0.000749118,0.000749118
33,582.693,1.64593,2.35369,1.73007,1.39017,0.59622,0.32323,0.3742,0.19861,0.57567,0.39094,0.43076,0.17593,1.99338,3.18132,2.23461,1.76834,0.000747827,0.000747827,0.000747827
34,599.875,1.62984,2.34975,1.70695,1.40799,0.33218,0.45546,0.38273,0.19699,0.31444,0.39358,0.3606,0.17699,1.92953,2.95648,2.43975,1.73178,0.000746496,0.000746496,0.000746496
35,616.834,1.64091,2.38476,1.72617,1.40492,0.42877,0.35021,0.32596,0.18725,0.45199,0.38011,0.36767,0.17899,1.93744,2.88467,2.26633,1.74526,0.000745126,0.000745126,0.000745126
36,634.029,1.66421,2.37101,1.71324,1.4097,0.55499,0.36667,0.37416,0.2099,0.78622,0.21271,0.36508,0.19905,1.85797,3.11754,2.58332,1.65508,0.000743717,0.000743717,0.000743717
37,651.014,1.64176,2.3632,1.6786,1.38958,0.48744,0.4878,0.44681,0.25083,0.46465,0.43299,0.41599,0.21484,1.89729,3.20035,2.25646,1.69548,0.000742269,0.000742269,0.000742269
38,668.453,1.61604,2.325,1.64879,1.395,0.39137,0.4249,0.41498,0.17997,0.31155,0.38717,0.34591,0.19693,1.99588,3.10146,2.40923,1.80831,0.000740782,0.000740782,0.000740782
39,685.591,1.5975,2.30402,1.59274,1.38863,0.60375,0.38704,0.38284,0.22082,0.57606,0.36481,0.40918,0.20818,1.94935,2.88264,2.32231,1.75843,0.000739257,0.000739257,0.000739257
40,702.723,1.57813,2.23549,1.57159,1.35415,0.43385,0.54409,0.45568,0.21865,0.36454,0.48855,0.44624,0.21037,1.90351,2.95867,2.18656,1.73355,0.000737693,0.000737693,0.000737693
41,719.759,1.55153,2.21821,1.54843,1.3548,0.34827,0.51183,0.39857,0.24703,0.36994,0.52897,0.44243,0.19976,1.82446,2.86286,2.13752,1.67857,0.000736091,0.000736091,0.000736091
42,736.678,1.57126,2.28276,1.53252,1.3484,0.33979,0.51643,0.38518,0.17406,0.28857,0.44373,0.34203,0.1577,1.99418,2.97138,2.19317,1.79785,0.00073445,0.00073445,0.00073445
