epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9055,2.15774,3.99614,5.01463,1.62066,0.0015,0.14444,0.03107,0.01603,0.00126,0.17037,0.02901,0.00975,1.8257,3.60272,4.0969,1.51462,0.000251989,0.000251989,0.000251989
2,40.033,2.14356,3.51472,4.35826,1.56674,0.69721,0.12037,0.05881,0.02257,0.69721,0.12037,0.05595,0.01818,2.10526,3.59673,3.47783,1.58528,0.000508308,0.000508308,0.000508308
3,54.9573,2.20609,3.35943,4.07058,1.63325,0.10011,0.22377,0.16383,0.05401,0.08597,0.21142,0.14492,0.05872,2.20874,3.61702,3.25824,1.79552,0.000764572,0.000764572,0.000764572
4,69.9539,2.25637,3.40975,3.8134,1.66234,0.09016,0.32407,0.13495,0.06978,0.60541,0.11111,0.15151,0.06788,2.1332,3.63364,4.21057,1.86033,0.000768812,0.000768812,0.000768812
5,84.9182,2.21501,3.35113,3.55609,1.63603,0.39762,0.12452,0.12349,0.05334,0.36546,0.0725,0.08932,0.03625,2.14096,3.31178,3.07324,1.67486,0.000768666,0.000768666,0.000768666
6,99.8802,2.16241,3.2018,3.33603,1.61815,0.23375,0.19969,0.14863,0.05399,0.21001,0.17469,0.13277,0.04869,2.15348,3.10758,3.15321,1.76865,0.000768478,0.000768478,0.000768478
7,114.809,2.10292,3.14796,3.21361,1.58269,0.77866,0.12025,0.21697,0.08255,0.75443,0.10648,0.18092,0.07835,2.07367,3.26135,2.9401,1.65337,0.000768249,0.000768249,0.000768249
8,129.906,2.11168,3.09657,3.09607,1.60759,0.42528,0.26638,0.24839,0.12137,0.35655,0.20586,0.1856,0.09482,2.00601,3.46818,3.72484,1.61,0.000767978,0.000767978,0.000767978
9,144.852,2.05024,3.05856,2.89407,1.54379,0.15166,0.316,0.15812,0.08401,0.13839,0.31158,0.15453,0.07082,1.93901,3.12749,2.95067,1.5679,0.000767665,0.000767665,0.000767665
10,159.724,2.00989,3.07754,2.79961,1.52184,0.44643,0.34097,0.25085,0.12913,0.42608,0.28559,0.23044,0.10318,2.0608,3.26989,2.62307,1.61877,0.000767311,0.000767311,0.000767311
