epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8919,2.09978,3.71622,5.2893,1.62194,0.26002,0.26157,0.14489,0.05334,0.21667,0.21759,0.11088,0.04874,1.8971,3.82356,3.9655,1.57025,0.000251989,0.000251989,0.000251989
2,43.5339,2.09527,3.22361,3.31382,1.59177,0.3271,0.12083,0.07623,0.0344,0.32131,0.10694,0.05307,0.02085,2.18044,4.42689,3.23423,1.85661,0.000506645,0.000506645,0.000506645
3,59.7547,2.16397,3.23901,3.05837,1.63786,0.28484,0.2125,0.09255,0.04025,0.20036,0.24722,0.15556,0.04173,2.21608,4.22372,4.40191,1.87989,0.000759609,0.000759609,0.000759609
4,75.985,2.19106,3.23776,2.9414,1.67303,0.80771,0.10163,0.13363,0.05391,0.09275,0.26343,0.11734,0.05289,2.04771,3.38378,4.0853,1.72794,0.000761387,0.000761387,0.000761387
5,92.368,2.18744,3.17293,2.82768,1.65896,0.48095,0.27538,0.26411,0.10558,0.36187,0.21852,0.26938,0.0973,2.12553,3.40172,3.17803,1.69559,0.000758849,0.000758849,0.000758849
6,108.609,2.14348,3.14837,2.72603,1.6297,0.67341,0.28044,0.27598,0.13296,0.61727,0.25863,0.22456,0.11251,2.11065,3.59241,3.86118,1.75219,0.000756312,0.000756312,0.000756312
7,124.948,2.07109,3.07132,2.55205,1.60627,0.62503,0.30417,0.32427,0.17403,0.62503,0.30417,0.32829,0.146,2.10855,3.11696,2.80302,1.72761,0.000753774,0.000753774,0.000753774
8,141.334,2.03888,2.93912,2.49663,1.58092,0.53021,0.34489,0.27951,0.14482,0.41532,0.29403,0.23474,0.11662,2.02136,3.11686,2.74851,1.64667,0.000751236,0.000751236,0.000751236
9,157.393,2.00537,2.91392,2.43708,1.55103,0.49729,0.31759,0.319,0.18136,0.45764,0.2764,0.31205,0.15203,2.00819,3.1521,2.55279,1.62921,0.000748698,0.000748698,0.000748698
10,173.718,2.04007,2.88894,2.4248,1.57051,0.53492,0.3133,0.29763,0.131,0.49086,0.3,0.2705,0.11699,2.09526,3.092,2.67807,1.70959,0.000746161,0.000746161,0.000746161
11,189.742,1.93607,2.851,2.3237,1.51624,0.63891,0.30347,0.34885,0.19461,0.60989,0.3477,0.38795,0.16728,2.02928,3.02796,2.58336,1.73375,0.000743623,0.000743623,0.000743623
