epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9146,2.45971,4.71582,5.28734,1.88288,0,0,0,0,0,0,0,0,3.73329,7.62126,4.48213,3.02378,0.000252723,0.000252723,0.000252723
2,32.6418,2.50075,4.2336,4.96909,1.81751,0.70879,0.01235,0.02046,0.00744,0.00173,0.25457,0.00989,0.0039,2.46556,4.18933,3.78622,1.87519,0.000506537,0.000506537,0.000506537
3,44.2186,2.42475,4.00836,4.57571,1.79695,0.12933,0.16556,0.05954,0.01624,0.124,0.11468,0.01768,0.00443,2.22899,3.80833,4.64612,1.97454,0.000757812,0.000757812,0.000757812
4,55.2392,2.36329,3.92313,4.28392,1.7778,0.88149,0.02469,0.05187,0.02401,0.88149,0.02469,0.05248,0.02461,2.09981,3.47875,3.61082,1.72922,0.00075758,0.00075758,0.00075758
5,66.8064,2.30354,3.74664,3.98132,1.73644,0.19678,0.23936,0.09301,0.04073,0.20762,0.25371,0.14048,0.03936,2.196,3.32774,3.96569,1.90156,0.000753774,0.000753774,0.000753774
6,78.2802,2.26864,3.61212,3.7279,1.70806,0.74089,0.1239,0.15781,0.07553,0.74089,0.1239,0.15464,0.06284,2.25378,3.29419,3.33525,1.82636,0.000749967,0.000749967,0.000749967
7,89.2906,2.18346,3.48514,3.53721,1.66497,0.53579,0.10326,0.10182,0.04631,0.53579,0.10326,0.10079,0.04313,1.95878,3.343,2.9984,1.65686,0.000746161,0.000746161,0.000746161
8,100.782,2.14102,3.42659,3.39471,1.64032,0.64214,0.13404,0.11632,0.05755,0.65478,0.14991,0.12378,0.06491,2.05629,3.1545,3.2037,1.68293,0.000742354,0.000742354,0.000742354
9,111.965,2.10362,3.30685,3.24744,1.63353,0.4434,0.32233,0.16987,0.07239,0.74132,0.13933,0.19781,0.07629,2.00264,3.27274,2.93905,1.69082,0.000738548,0.000738548,0.000738548
10,122.91,2.09108,3.33708,3.15724,1.60169,0.20896,0.24274,0.16237,0.08021,0.17913,0.24317,0.16198,0.08028,2.00032,3.02696,2.80343,1.66798,0.000734741,0.000734741,0.000734741
11,134.206,2.07842,3.2661,3.07193,1.59141,0.16696,0.26883,0.19105,0.10417,0.56214,0.17328,0.18864,0.10373,1.86366,2.93263,2.62059,1.63365,0.000730935,0.000730935,0.000730935
12,145.575,2.03271,3.15223,2.9354,1.58978,0.14175,0.21402,0.17829,0.10036,0.15193,0.22773,0.2008,0.09904,1.91315,2.96183,2.61033,1.66534,0.000727128,0.000727128,0.000727128
13,156.543,2.02647,3.17149,2.87184,1.59007,0.50172,0.22949,0.23289,0.11148,0.36962,0.19276,0.2006,0.11692,1.99476,3.07743,2.66722,1.63081,0.000723321,0.000723321,0.000723321
