epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6462,1.3739,4.47759,3.72069,1.40021,0.07803,0.15488,0.09511,0.06475,0.05816,0.1625,0.08436,0.05857,1.67253,3.89876,4.03002,1.54367,9e-05,9e-05,9e-05
2,25.1926,1.08414,2.86307,3.43922,1.21423,0.04773,0.16738,0.1707,0.10243,0.03673,0.175,0.16042,0.10562,1.68977,3.66094,4.05568,1.61827,0.000186238,0.000186238,0.000186238
3,30.2697,1.09523,2.4593,3.15824,1.16845,0.02597,0.17988,0.15852,0.104,0.02154,0.1875,0.15137,0.1069,1.78958,3.52472,4.02576,1.6044,0.000278516,0.000278516,0.000278516
4,35.9214,1.22374,2.34728,2.92712,1.22068,0.01427,0.175,0.13729,0.06635,0.01415,0.1625,0.10977,0.05212,1.97858,4.0412,3.98955,1.61511,0.000366834,0.000366834,0.000366834
5,42.778,1.30705,2.30675,2.63639,1.22712,0.01959,0.19238,0.15265,0.08946,0.01608,0.175,0.15009,0.0951,1.9587,3.85494,3.85554,1.62031,0.000451192,0.000451192,0.000451192
6,47.6656,1.30829,2.15679,2.23188,1.24576,1,0.0706,0.1656,0.07091,1,0.06527,0.15751,0.07056,2.08426,4.30431,3.84333,1.71013,0.00053159,0.00053159,0.00053159
7,53.1823,1.27313,2.11431,2.05842,1.25541,1,0.09424,0.17566,0.07909,1,0.09424,0.17905,0.08381,2.01925,4.24675,3.58197,1.75454,0.000608028,0.000608028,0.000608028
8,60.3187,1.15109,1.99798,1.84819,1.17932,0.96308,0.1106,0.15994,0.0753,0.94515,0.09931,0.1445,0.07481,1.94973,4.5285,3.36017,1.73307,0.000680506,0.000680506,0.000680506
9,64.9973,1.12187,2.00576,1.77194,1.169,0.93974,0.15,0.17939,0.10403,0.93725,0.15,0.18295,0.10534,1.98383,4.6949,3.15809,1.65549,0.000749024,0.000749024,0.000749024
10,69.9973,1.1533,2.02638,1.67919,1.17607,0.92813,0.1375,0.16018,0.10586,0.92813,0.1375,0.15785,0.0976,1.99982,4.16175,3.04096,1.65054,0.000813582,0.000813582,0.000813582
11,77.8029,1.11307,1.94291,1.55225,1.16944,0.96537,0.1375,0.1676,0.10046,0.96537,0.1375,0.16641,0.09247,1.98481,4.17904,2.98758,1.78304,0.000802,0.000802,0.000802
12,82.7469,1.10577,1.99027,1.56086,1.17707,0.6508,0.16463,0.16687,0.09777,0.6508,0.16463,0.17,0.10876,1.93387,4.43822,2.90121,1.62094,0.0007822,0.0007822,0.0007822
13,87.3638,1.04358,1.85718,1.4627,1.1303,0.79528,0.17534,0.16523,0.10129,0.79528,0.17534,0.16782,0.1065,1.95631,4.5721,2.85957,1.65058,0.0007624,0.0007624,0.0007624
14,94.2869,1.05593,1.92927,1.50685,1.14383,0.75071,0.16879,0.17158,0.12544,0.82952,0.1609,0.17155,0.12151,2.03112,4.29895,2.86916,1.7185,0.0007426,0.0007426,0.0007426
15,100.07,1.04874,1.83467,1.44123,1.13683,0.42913,0.16656,0.18086,0.12871,0.43297,0.15894,0.16983,0.11099,1.96525,3.9235,2.80202,1.64568,0.0007228,0.0007228,0.0007228
16,104.658,1.01569,1.82972,1.41084,1.11951,0.83269,0.15976,0.18374,0.1152,0.83269,0.15976,0.17926,0.10316,1.92956,4.38567,2.75062,1.63594,0.000703,0.000703,0.000703
17,111.173,1.02029,1.92801,1.35071,1.13423,0.79717,0.17439,0.16518,0.09666,0.81181,0.15701,0.13737,0.06975,2.01318,4.45101,2.77881,1.67593,0.0006832,0.0006832,0.0006832
18,117.264,1.02048,1.78732,1.33616,1.12462,0.80052,0.16677,0.18722,0.11572,0.75366,0.1578,0.17002,0.10532,2.04218,4.18014,2.66942,1.68665,0.0006634,0.0006634,0.0006634
19,121.906,0.97837,1.66567,1.29002,1.09229,0.74199,0.18689,0.19789,0.13082,0.70822,0.16951,0.16611,0.11556,2.00379,3.75248,2.63773,1.64638,0.0006436,0.0006436,0.0006436
20,127.678,0.9758,1.65868,1.30031,1.10023,0.91057,0.17226,0.17617,0.11726,0.44619,0.20723,0.15949,0.10463,1.94988,4.44068,2.5566,1.66942,0.0006238,0.0006238,0.0006238
