epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4202,1.89967,4.34441,3.98144,1.64254,0.23451,0.13696,0.02613,0.01048,0.23895,0.07049,0.02187,0.00884,2.39194,7.07477,4.21216,2.17,0.0003333,0.0003333,0.0003333
2,69.752,2.08706,3.75556,3.28618,1.69647,0.00208,0.16391,0.00125,0.00042,0.00409,0.07469,0.00128,0.00027,3.06987,20.0167,inf,4.14848,0.000677669,0.000677669,0.000677669
3,99.2751,2.31099,4.00406,3.33099,1.83737,0.40013,0.11429,0.00026,0.00015,0.01271,0.1,0.01535,0.00165,3.67735,46.2291,inf,6.61519,0.00102187,0.00102187,0.00102187
4,128.317,2.28357,3.89039,3.21963,1.87548,0.00405,0.13693,0.00287,0.00117,0.00304,0.13035,0.00196,0.00039,3.50244,16.231,inf,6.61721,0.00111039,0.00111039,0.00111039
5,158.486,2.36616,4.01352,3.30797,1.90377,0.2012,0.03208,0.00056,7e-05,0.20116,0.02857,0.00053,0.00016,4.04115,126.618,inf,28.9312,0.00110991,0.00110991,0.00110991
6,186.575,2.28686,3.97367,3.26218,1.86281,0.00731,0.16093,0.00784,0.00227,0.00675,0.16769,0.00723,0.00155,2.72377,4.51381,22.0094,2.84661,0.0011093,0.0011093,0.0011093
7,218.611,2.25295,3.83986,3.12662,1.85801,0.21657,0.11697,0.00665,0.00284,0.22021,0.09663,0.00687,0.0025,2.84485,4.20973,62.3508,2.83637,0.00110856,0.00110856,0.00110856
8,246.589,2.14408,3.77352,3.03311,1.7526,0.95,0.08571,0.10002,0.04437,0.95,0.08571,0.10097,0.0421,2.68922,3.66114,20.8675,2.44568,0.00110768,0.00110768,0.00110768
9,277.016,2.17639,3.57332,3.05021,1.7547,0.52662,0.08922,0.09807,0.0323,0.22681,0.07036,0.01715,0.0054,2.61179,4.40363,8.85988,2.24384,0.00110666,0.00110666,0.00110666
10,306.233,2.15013,3.68536,2.90136,1.74122,0.26671,0.19155,0.03983,0.01601,0.26556,0.16213,0.03193,0.01456,2.63359,4.32059,8.80468,2.3657,0.00110551,0.00110551,0.00110551
11,335.165,2.0689,3.57643,2.9676,1.72006,0.17565,0.26589,0.07025,0.02206,0.09752,0.19896,0.04156,0.01152,2.49272,4.57621,13.715,2.23232,0.00110423,0.00110423,0.00110423
12,364.785,2.02644,3.53509,2.9788,1.66892,0.21867,0.2344,0.04647,0.02043,0.21287,0.16067,0.03359,0.01696,2.48191,4.02223,4.76235,2.08785,0.00110281,0.00110281,0.00110281
13,393.814,2.03343,3.55923,2.80848,1.68016,0.12867,0.23105,0.06907,0.02553,0.12317,0.16689,0.07381,0.03549,2.47176,4.27382,4.76218,2.11782,0.00110126,0.00110126,0.00110126
14,424.435,2.018,3.43405,2.76518,1.69574,0.61215,0.12849,0.13315,0.07218,0.61215,0.12849,0.12044,0.06247,2.35548,3.72274,4.47272,2.01179,0.00109957,0.00109957,0.00109957
15,455.638,2.02225,3.46182,2.77202,1.68141,0.03829,0.25015,0.03951,0.01478,0.0345,0.1969,0.04311,0.0162,2.66996,4.37788,6.40623,2.30491,0.00109776,0.00109776,0.00109776
16,484.951,1.95472,3.46656,2.70367,1.63041,1,0.08504,0.15003,0.05813,0.15192,0.23322,0.1652,0.07485,2.34194,3.95767,4.43726,2.11178,0.0010958,0.0010958,0.0010958
17,515.399,1.91423,3.47573,2.62335,1.63835,0.65265,0.14881,0.11208,0.05069,0.76658,0.05714,0.0935,0.05358,2.35275,4.04046,3.66011,2.05618,0.00109372,0.00109372,0.00109372
18,543.65,2.02367,3.42559,2.66684,1.68835,0.42628,0.15368,0.14586,0.08273,0.43159,0.18225,0.14692,0.08895,2.41759,3.49321,3.48084,2.11667,0.00109151,0.00109151,0.00109151
19,573.658,1.88766,3.20049,2.61552,1.61957,0.1136,0.27131,0.11275,0.04054,0.128,0.2879,0.14554,0.0367,2.34104,3.52785,4.40639,2.04131,0.00108916,0.00108916,0.00108916
20,601.992,1.85074,3.16995,2.52604,1.59105,0.14441,0.25512,0.06829,0.03004,0.15258,0.23516,0.06845,0.0344,2.40079,4.30709,3.59109,2.05369,0.00108669,0.00108669,0.00108669
21,630.913,1.84486,3.21066,2.50827,1.56346,0.66253,0.17143,0.12935,0.05839,0.67439,0.11429,0.12795,0.07514,2.30372,3.83241,3.24922,2.14599,0.00108408,0.00108408,0.00108408
22,661.384,1.83804,3.11373,2.41921,1.54287,0.21371,0.17022,0.14879,0.07517,0.30026,0.20368,0.18851,0.10748,2.48947,3.40327,3.33516,1.95111,0.00108135,0.00108135,0.00108135
23,691.134,1.86968,3.12079,2.39727,1.55899,0.18559,0.22127,0.15611,0.06803,0.71825,0.11429,0.15635,0.09253,2.29051,3.98395,3.24825,1.9865,0.00107849,0.00107849,0.00107849
24,720.4,1.79007,3.10828,2.44212,1.53588,0.3512,0.1627,0.10153,0.05028,0.40618,0.17152,0.13038,0.05008,2.31665,3.55698,4.1907,1.9778,0.0010755,0.0010755,0.0010755
25,748.77,1.71725,2.90357,2.40252,1.49465,0.10179,0.31342,0.17588,0.09072,0.07539,0.27432,0.14783,0.0842,2.26413,3.39611,2.95083,1.94951,0.00107238,0.00107238,0.00107238
26,778.233,1.78668,2.94306,2.35641,1.54812,0.48574,0.23814,0.19362,0.07914,0.50833,0.21273,0.17321,0.08763,2.20625,3.62048,3.23666,1.9351,0.00106914,0.00106914,0.00106914
27,806.878,1.83963,3.05066,2.3473,1.56921,0.44876,0.22766,0.20856,0.08673,0.16625,0.30153,0.17011,0.09218,2.25014,3.74905,3.29824,1.94241,0.00106577,0.00106577,0.00106577
28,836.647,1.84497,2.96141,2.39903,1.55002,0.50472,0.11429,0.14736,0.07724,0.72422,0.15049,0.21134,0.09503,2.2517,3.82081,3.23686,1.92478,0.00106228,0.00106228,0.00106228
29,866.363,1.71969,2.93121,2.22372,1.50241,0.16932,0.2409,0.17812,0.09666,0.21271,0.33167,0.21161,0.11441,2.31371,3.53588,2.96897,1.93876,0.00105866,0.00105866,0.00105866
30,897.14,1.75792,2.98004,2.30879,1.49537,0.59096,0.19239,0.18998,0.08764,0.59198,0.17619,0.17256,0.09999,2.27292,3.82152,3.19188,1.96015,0.00105492,0.00105492,0.00105492
31,926.234,1.71989,2.98655,2.27226,1.50879,0.37142,0.24597,0.24185,0.0936,0.42572,0.28064,0.28434,0.13218,2.211,3.47673,3.03069,1.98879,0.00105106,0.00105106,0.00105106
32,956.066,1.77413,2.86799,2.17652,1.51678,0.31563,0.28656,0.14806,0.06924,0.61467,0.18922,0.12235,0.05731,2.05895,3.50896,2.89084,1.80436,0.00104708,0.00104708,0.00104708
33,984.459,1.73451,2.87012,2.17452,1.50435,0.15832,0.33168,0.15064,0.0661,0.14453,0.29138,0.14155,0.06833,2.11129,3.7106,3.02515,1.87488,0.00104298,0.00104298,0.00104298
34,1013.25,1.57448,2.76115,2.15209,1.41278,0.22212,0.26486,0.16567,0.07764,0.18487,0.2414,0.17771,0.06917,2.16451,3.35556,2.83952,1.97726,0.00103875,0.00103875,0.00103875
35,1041.68,1.7026,2.86745,2.17186,1.44094,0.23874,0.35211,0.24392,0.09387,0.2124,0.28323,0.21867,0.10291,2.4436,3.71066,3.0042,2.08007,0.00103442,0.00103442,0.00103442
36,1071.63,1.64971,2.88111,2.03017,1.45397,0.26999,0.32691,0.20717,0.08726,0.29268,0.31167,0.23147,0.08816,2.14484,3.46419,2.8188,1.90736,0.00102996,0.00102996,0.00102996
37,1099.53,1.61641,2.87999,2.09098,1.44871,0.83248,0.2,0.24128,0.11995,0.6177,0.23208,0.24289,0.12832,2.23759,3.80671,3.07101,1.9485,0.00102539,0.00102539,0.00102539
38,1130.9,1.6988,2.89695,2.11405,1.47346,0.2585,0.36058,0.29448,0.11315,0.23167,0.35071,0.27325,0.08866,2.09567,3.81172,2.86458,1.80422,0.0010207,0.0010207,0.0010207
39,1159.23,1.64084,2.78,2.03708,1.4373,0.24309,0.33782,0.21312,0.09982,0.26781,0.35064,0.22878,0.10567,2.25964,3.55514,2.74284,1.94994,0.0010159,0.0010159,0.0010159
40,1188.75,1.62536,2.61683,1.99324,1.42064,0.74062,0.17143,0.20582,0.09319,0.74062,0.17143,0.18605,0.08953,2.23507,3.57412,3.45445,1.91142,0.00101099,0.00101099,0.00101099
41,1217.22,1.58522,2.73347,2.0048,1.41202,0.23679,0.38371,0.27823,0.13222,0.20718,0.33639,0.25169,0.1307,2.15652,3.55059,2.87937,1.86324,0.00100597,0.00100597,0.00100597
42,1246.45,1.6038,2.63607,2.00892,1.41262,0.17787,0.31649,0.2343,0.11163,0.15255,0.29931,0.22186,0.09105,2.04637,3.78115,2.98586,1.85048,0.00100084,0.00100084,0.00100084
43,1275.22,1.54463,2.65547,1.88286,1.36707,0.41068,0.24104,0.22531,0.09754,0.21868,0.27011,0.24186,0.09459,2.15295,3.52924,2.82236,1.88047,0.000995597,0.000995597,0.000995597
44,1303.61,1.66011,2.64588,2.09168,1.42492,0.2473,0.3354,0.25645,0.09345,0.27247,0.3657,0.27129,0.11756,2.27605,3.40888,2.87412,2.00198,0.000990249,0.000990249,0.000990249
45,1333.12,1.60767,2.75449,1.96364,1.43248,0.35987,0.27352,0.2486,0.12148,0.45757,0.34019,0.26132,0.12302,2.00849,3.31685,2.87603,1.7397,0.000984795,0.000984795,0.000984795
46,1362.3,1.54993,2.62674,1.91793,1.39614,0.17344,0.28669,0.24641,0.15127,0.16119,0.28319,0.21494,0.12738,2.01914,3.64753,2.82423,1.69055,0.000979236,0.000979236,0.000979236
47,1392.15,1.58674,2.67148,1.95384,1.40872,0.20691,0.27578,0.2083,0.11505,0.20627,0.29048,0.20638,0.12047,2.13722,3.4521,2.7233,1.92002,0.000973575,0.000973575,0.000973575
48,1420.38,1.55653,2.53762,1.86254,1.38042,0.1814,0.3079,0.21213,0.11063,0.22409,0.31495,0.21954,0.1197,2.05349,3.49338,3.31327,1.81559,0.000967811,0.000967811,0.000967811
49,1449.47,1.58824,2.49109,1.8467,1.396,0.22377,0.31907,0.22922,0.12913,0.20307,0.29681,0.20857,0.1146,2.08296,3.6338,2.88752,1.78623,0.000961948,0.000961948,0.000961948
50,1478.29,1.585,2.56943,1.82204,1.35611,0.78862,0.22832,0.24617,0.12802,0.75449,0.22481,0.25009,0.13999,1.96364,3.35,2.73728,1.76751,0.000955985,0.000955985,0.000955985
51,1507.21,1.49684,2.52836,1.79799,1.354,0.28226,0.30109,0.21648,0.10085,0.25579,0.2833,0.20083,0.10177,2.1825,3.21497,3.11161,1.83274,0.000949925,0.000949925,0.000949925
52,1536.54,1.52164,2.45736,1.72302,1.34037,0.25217,0.31447,0.21202,0.0906,0.35207,0.34525,0.26346,0.10442,2.1242,3.10235,2.70125,1.83701,0.000943769,0.000943769,0.000943769
53,1565.39,1.55734,2.55228,1.80052,1.38176,0.29974,0.35306,0.24052,0.1075,0.28372,0.31761,0.22711,0.10023,2.11377,3.61393,2.90769,1.85673,0.000937518,0.000937518,0.000937518
54,1596.9,1.49031,2.51776,1.76191,1.33951,0.78372,0.23208,0.22772,0.12346,0.46062,0.21923,0.18609,0.10646,2.20511,3.65162,3.23614,1.93819,0.000931175,0.000931175,0.000931175
55,1625.28,1.51694,2.47148,1.78425,1.34836,0.70305,0.21779,0.21813,0.11681,0.70305,0.21779,0.22768,0.10556,1.99599,3.1363,2.942,1.78472,0.00092474,0.00092474,0.00092474
56,1654.9,1.49004,2.44766,1.73838,1.33729,0.21168,0.31602,0.23171,0.1318,0.20846,0.26295,0.21335,0.12778,1.95142,3.25184,3.00574,1.77909,0.000918216,0.000918216,0.000918216
57,1682.78,1.54108,2.46106,1.77509,1.35169,0.22314,0.30219,0.21963,0.11613,0.21452,0.2879,0.2335,0.13591,2.03463,3.51037,3.04183,1.79881,0.000911603,0.000911603,0.000911603
58,1711.88,1.5187,2.38573,1.73468,1.33016,0.21474,0.28079,0.21497,0.08876,0.31686,0.27027,0.23197,0.12121,2.09128,3.45628,3.01834,1.83794,0.000904904,0.000904904,0.000904904
59,1740.68,1.43642,2.34621,1.64773,1.30607,0.24716,0.27271,0.23457,0.10289,0.65719,0.21433,0.2447,0.12097,2.09836,3.32416,2.82558,1.85309,0.00089812,0.00089812,0.00089812
60,1769.71,1.42603,2.45786,1.64863,1.29394,0.26205,0.35587,0.27237,0.12787,0.28973,0.31304,0.25893,0.13721,2.09613,3.17145,2.74654,1.85027,0.000891253,0.000891253,0.000891253
61,1798.8,1.40054,2.31366,1.5975,1.26522,0.28477,0.32691,0.25835,0.13061,0.26211,0.31638,0.27511,0.13621,2.04814,3.29335,2.87797,1.84102,0.000884305,0.000884305,0.000884305
62,1828.53,1.42546,2.25952,1.54942,1.2845,0.31689,0.30093,0.29907,0.14237,0.33251,0.33812,0.30292,0.16117,2.01829,3.74137,2.92638,1.77186,0.000877276,0.000877276,0.000877276
63,1858.02,1.39853,2.27915,1.5621,1.27968,0.32155,0.3168,0.26874,0.13821,0.2929,0.3404,0.27144,0.15354,2.04723,3.07896,2.84781,1.76865,0.00087017,0.00087017,0.00087017
64,1886.59,1.36984,2.36164,1.57373,1.27767,0.17773,0.31466,0.21841,0.12821,0.42333,0.21563,0.21743,0.13472,2.04186,3.36017,2.94655,1.75047,0.000862987,0.000862987,0.000862987
65,1916.3,1.38807,2.32798,1.53153,1.31322,0.22095,0.32643,0.26551,0.14724,0.26749,0.33639,0.2784,0.14838,2.04589,3.36786,3.04386,1.72844,0.00085573,0.00085573,0.00085573
66,1944.04,1.34555,2.324,1.44159,1.27323,0.32113,0.35845,0.30607,0.15163,0.39635,0.30755,0.30584,0.18366,1.94199,3.42338,2.99278,1.74625,0.0008484,0.0008484,0.0008484
67,1973.68,1.36423,2.2543,1.46993,1.25366,0.50663,0.30879,0.31406,0.1525,0.54276,0.27678,0.32178,0.18348,2.04838,3.14163,2.88575,1.8014,0.000841,0.000841,0.000841
68,2003.69,1.40282,2.22375,1.50129,1.29929,0.67175,0.2858,0.31929,0.15898,0.63145,0.27151,0.30097,0.16378,2.10359,3.58118,3.02518,1.80775,0.00083353,0.00083353,0.00083353
69,2032.33,1.40044,2.23233,1.51024,1.28927,0.62952,0.18654,0.296,0.15477,0.91108,0.20251,0.30065,0.14582,2.06701,3.53952,3.12259,1.77127,0.000825993,0.000825993,0.000825993
70,2063.37,1.34024,2.19314,1.50909,1.27537,0.3477,0.28685,0.25476,0.14024,0.30898,0.25222,0.22698,0.13463,2.15635,3.25285,2.83712,1.77784,0.000818391,0.000818391,0.000818391
71,2091.25,1.38735,2.16882,1.47756,1.27973,0.33333,0.35101,0.27003,0.12271,0.29991,0.35357,0.25852,0.1173,2.0324,3.31637,2.74715,1.76975,0.000810725,0.000810725,0.000810725
72,2120.71,1.3696,2.23078,1.48821,1.27546,0.65911,0.21563,0.25936,0.14836,0.40392,0.33992,0.3035,0.14983,2.08485,3.10002,2.90282,1.8005,0.000802997,0.000802997,0.000802997
73,2149.32,1.33346,2.15904,1.44681,1.26018,0.25879,0.34197,0.23724,0.11841,0.5277,0.22539,0.25623,0.10473,2.18613,3.61918,2.77965,1.81983,0.00079521,0.00079521,0.00079521
74,2178.04,1.33847,2.11446,1.43093,1.26326,0.2788,0.28941,0.22486,0.13564,0.30136,0.30975,0.23167,0.13877,2.13223,3.37528,2.85925,1.82071,0.000787365,0.000787365,0.000787365
75,2207.86,1.31545,2.16946,1.41925,1.26609,0.19025,0.28528,0.24084,0.14579,0.20475,0.30695,0.24073,0.14826,2.10205,3.56573,2.73512,1.84259,0.000779464,0.000779464,0.000779464
76,2235.95,1.31176,2.12822,1.45293,1.24249,0.56088,0.18441,0.25649,0.13385,0.74211,0.21966,0.29124,0.14337,2.0235,3.34861,2.90779,1.75868,0.00077151,0.00077151,0.00077151
77,2265.45,1.37014,2.22688,1.44885,1.25998,0.27354,0.30666,0.26124,0.15473,0.3216,0.30695,0.28008,0.15788,2.04694,3.49017,2.91784,1.79806,0.000763503,0.000763503,0.000763503
78,2295.3,1.32056,2.14942,1.41526,1.26093,0.33525,0.30759,0.28316,0.1376,0.41911,0.23135,0.25692,0.14313,2.0979,3.85413,2.78232,1.80342,0.000755447,0.000755447,0.000755447
79,2324.77,1.2951,2.08876,1.32085,1.21037,0.5288,0.3411,0.34817,0.17234,0.52916,0.29522,0.32237,0.19481,1.96172,3.53183,2.67703,1.74268,0.000747342,0.000747342,0.000747342
80,2353.75,1.22354,1.98981,1.24185,1.18301,0.56993,0.26781,0.28089,0.17134,0.54544,0.2643,0.26194,0.14995,1.9721,3.16729,2.79995,1.75815,0.000739192,0.000739192,0.000739192
81,2382.77,1.29178,2.16309,1.39485,1.2402,0.32061,0.37722,0.30952,0.1717,0.31527,0.37052,0.29533,0.17088,2.0234,3.43529,2.82373,1.74858,0.000730997,0.000730997,0.000730997
